artifact_type,path_or_group,status,input,output,function,runnable_or_usable,evidence_or_counts,alignment_note
schema,schemas/guideline_graph_schema.json,missing,none,none,指南图谱 schema,no,"未发现",模块3 P0 缺口
config,configs/phase4_config.yaml,available,config,phase4 paths and baseline variants,Phase 4 评估配置,yes,"recommendation_variants=cue_only,structured_rule",需新增 module3 config
graph,configs/module3/guideline_graphs or data/guidelines/structured,missing,none,none,CDSG 图定义存放位置,no,"未发现 guideline_graph/CDSG 文件",模块3核心缺口
data,outputs/phaseA3,created_for_this_audit,none,"outputs/phaseA3/tables/*.csv",本轮新建审计输出目录,yes,"此前 outputs/phaseA3 不存在",仅含审计表，不代表模块3实验产物
data,outputs/module3,missing,none,none,模块3历史输出目录,no,"find 未发现",尚无模块3正式输出
data,outputs/phase4/cache/radiology_facts_eval.jsonl,available,Phase 4 radiology manifest,500 radiology facts,Phase 4 模块2事实缓存,yes,"wc -l=500",可用于 predicted facts 层评估
data,outputs/phase4/cache/case_bundles_eval.jsonl,available,Phase 4 facts + assembler,253 case bundles,Phase 4 推荐输入缓存,yes,"wc -l=253",可用于 FlatRule/CDSG 初始输入
data,outputs/phase4/results/recommendations_structured_rule.jsonl,available,case_bundles_eval,253 recommendations,Lung-RADS structured_rule baseline 输出,yes,"schema_valid_rate=1.0; insufficient_data_rate=0.3281",当前最接近模块3输出的产物
data,outputs/phase4/results/recommendations_cue_only.jsonl,available,case_bundles_eval,253 cue-only recommendations,原文 cue baseline 输出,yes,"schema_valid_rate=0.0; actionable_rate=0.5415",可作弱 baseline 但 schema 不合格
data,outputs/phase4/manifests/recommendation_eval.json,available,Phase 4 radiology facts,464 note-level samples,推荐评估 manifest,yes,"explicit_cue=166; rule_derived=166; insufficient_data=132",弱标签来源；不是 gold
data,outputs/phase4/benchmark_summary.txt,available,Phase 4 benchmark outputs,summary text,Phase 4 总结,yes,"structured_rule guideline_anchor_presence_rate=0.6719",记录当前 baseline 水平
data,outputs/phase5/datasets/*_train.jsonl,available,模块2提及级样本,201947 rows per task,模块2 train split,yes,"density/location/size train each 201947",不是模块3推荐 split
data,outputs/phase5/datasets/*_val.jsonl,available,模块2提及级样本,44890 rows per task,模块2 val split,yes,"density/location/size val each 44890",可作为 predicted facts 训练评估来源
data,outputs/phase5/datasets/*_test.jsonl,available,模块2提及级样本,42057 rows per task,模块2 test split,yes,"density/location/size test each 42057",subject-disjoint 但不是 case-level recommendation
data,outputs/phase5/datasets/split_manifest.json,available,模块2 dataset build,split metadata,记录 subject-disjoint split,yes,"total_mentions=288894; total_subjects=33149; disjoint=true",可借鉴模块3 split 原则
data,outputs/phase5_1/gold_eval_manifest.jsonl,available,manual/gold module2 eval,62 gold samples,模块2金标评估集,yes,"wc -l=62",可抽样转成 oracle facts 但无 recommendation gold
data,outputs/phase5_1/gold_eval_metrics.json,available,gold_eval predictions,metrics json,模块2 gold 指标,yes,"density macro-F1=0.7003; size within_tolerance=0.9074",端到端误差传播参考
label,随访建议 gold labels,missing,none,none,case-level recommendation gold,no,"未发现 expert_annotation/gold recommendation 文件",模块3主指标最大缺口
split,module3 train/val/test split,missing,none,none,模块3推荐生成 split,no,"case_bundle split 当前多为 unlabeled",需要先构建 case-level split
